Year,Strength,Interval
1803,1,NA
1806,0,3
1812,0,6
1814,1,2
1817,0,3
1819,0,2
1821,0,2
1824,0,3
1828,1,4
1832,0,4
1837,0,5
1844,1,7
1850,0,6
1854,0,4
1857,0,3
1860,0,3
1864,1,4
1866,0,2
1867,0,1
1871,1,4
1874,0,3
1877,1,3
1880,0,3
1884,1,4
1887,0,3
1891,1,4
1896,0,5
1899,1,3
1902,0,3
1905,0,3
1907,0,2
1911,1,4
1914,0,3
1917,1,3
1918,0,1
1923,0,5
1925,1,2
1930,0,5
1932,1,2
1939,0,7
1940,1,1
1943,0,3
1951,0,8
1953,0,2
1957,1,4
1965,0,8
1972,1,7
1976,0,4
1982,1,6
1987,0,5
1991,0,4
1994,0,3
1997,1,3
2002,0,5
2006,0,4
