# --------------------------------------------------------------------
# USE OF NOAA GML DATA
#
# These data are made freely available to the public and the scientific
# community in the belief that their wide dissemination will lead to
# greater understanding and new scientific insights. To ensure that GML
# receives fair credit for their work please include relevant citation
# text in publications. We encourage users to contact the data providers,
# who can provide detailed information about the measurements and
# scientific insight.  In cases where the data are central to a
# publication, coauthorship for data providers may be appropriate.
#
#
#
# Contact:  Xin Lan (xin.lan@noaa.gov)
#
# File Creation: Thu Oct  5 04:05:14 2023
#
#
# --------------------------------------------------------------------
#
#
# See gml.noaa.gov/ccgg/trends/ for additional details.
#
#
# Uncertainties in the global monthly means are estimated using two
# terms: The first is a bootstrap (resampling) method that varies the
# sites in our network. Each pseudo-network contains the same number of
# sites as our actual NOAA ESRL cooperative global air sampling network,
# but some are repeated and some are excluded. The second term is a
# Monte Carlo method that randomly modifies the data to account for
# measurement uncertainty. In both cases, 100 globally-averaged time
# series are created. Standard deviations of the monthly means are
# calculated, and the two terms (network and analytical) are taken in
# quadrature to give the  reported uncertainties. A default value (-9.9)
# indicates the uncertainty has not yet been calculated for that month.
# Please see Dlugokencky et al., 1994, JGR, vol. 99, 17021-17043, for a
# complete discussion.
#
# CH4 expressed as a mole fraction in dry air, nanomol/mol, abbreviated as ppb
#
# NOTE: In general, the data presented for the last year are subject to change,
# depending on recalibration of the reference gas mixtures used, and other quality
# control procedures. Occasionally, earlier years may also change for the same
# reasons.  Usually these changes are minor.
year,month,decimal,average,average_unc,trend,trend_unc

1983,7,1983.542,1625.97,2.10,1634.93,1.39
1983,8,1983.625,1628.05,2.69,1635.50,1.33
1983,9,1983.708,1638.46,2.33,1636.12,1.27
1983,10,1983.792,1644.79,1.59,1636.80,1.20
1983,11,1983.875,1642.58,0.78,1637.54,1.12
1983,12,1983.958,1639.56,1.01,1638.34,1.04
1984,1,1984.042,1638.77,1.78,1639.24,0.95
1984,2,1984.125,1638.85,2.05,1640.15,0.87
1984,3,1984.208,1640.84,1.81,1641.10,0.81
1984,4,1984.292,1643.96,1.93,1642.16,0.75
1984,5,1984.375,1643.14,1.09,1643.24,0.71
1984,6,1984.458,1639.75,0.90,1644.34,0.68
1984,7,1984.542,1637.97,1.10,1645.47,0.66
1984,8,1984.625,1641.69,1.51,1646.62,0.65
1984,9,1984.708,1650.63,1.21,1647.75,0.65
1984,10,1984.792,1654.59,1.54,1648.87,0.65
1984,11,1984.875,1653.78,1.08,1649.97,0.66
1984,12,1984.958,1656.21,1.23,1651.06,0.66
1985,1,1985.042,1655.58,1.26,1652.15,0.66
1985,2,1985.125,1652.23,1.39,1653.16,0.66
1985,3,1985.208,1654.62,0.99,1654.16,0.66
1985,4,1985.292,1658.18,0.90,1655.18,0.65
1985,5,1985.375,1655.88,1.27,1656.18,0.65
1985,6,1985.458,1650.06,1.35,1657.18,0.64
1985,7,1985.542,1646.79,1.36,1658.18,0.65
1985,8,1985.625,1652.25,1.42,1659.20,0.65
1985,9,1985.708,1662.51,1.34,1660.21,0.66
1985,10,1985.792,1667.48,1.23,1661.23,0.68
1985,11,1985.875,1666.79,1.32,1662.25,0.69
1985,12,1985.958,1666.06,1.20,1663.28,0.72
1986,1,1986.042,1666.27,1.25,1664.34,0.75
1986,2,1986.125,1666.91,1.76,1665.36,0.77
1986,3,1986.208,1669.28,1.31,1666.38,0.79
1986,4,1986.292,1670.80,1.46,1667.44,0.82
1986,5,1986.375,1668.44,0.91,1668.52,0.84
1986,6,1986.458,1664.78,1.30,1669.59,0.86
1986,7,1986.542,1662.31,1.36,1670.67,0.87
1986,8,1986.625,1664.38,1.89,1671.78,0.88
1986,9,1986.708,1672.60,1.69,1672.87,0.87
1986,10,1986.792,1678.66,1.54,1673.96,0.86
1986,11,1986.875,1678.97,1.69,1675.06,0.85
1986,12,1986.958,1679.13,1.18,1676.15,0.82
1987,1,1987.042,1679.38,1.13,1677.25,0.79
1987,2,1987.125,1679.03,1.07,1678.29,0.75
1987,3,1987.208,1680.08,0.87,1679.32,0.71
1987,4,1987.292,1681.36,0.94,1680.37,0.66
1987,5,1987.375,1681.84,0.96,1681.38,0.61
1987,6,1987.458,1680.00,0.97,1682.38,0.56
1987,7,1987.542,1675.95,0.86,1683.34,0.51
1987,8,1987.625,1677.15,0.83,1684.28,0.47
1987,9,1987.708,1685.62,0.91,1685.18,0.44
