# Swain Henselman - Saganaga Lake Summed - PIRE - ITRDB MN005
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5066
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5066.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/mn005-crn-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; mn005-crn-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/chronologies/northamerica/usa/mn005.crn
#   Related_Online_Description: CRN File; Chronology - Tucson Decadal File
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Swain Henselman - Saganaga Lake Summed - PIRE - ITRDB MN005
#--------------------
# Investigators
#   Investigators: Swain Henselman, A.M.; Fritts, H.C.; Conrad, L.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Saganaga Lake Summed
#   Location: Minnesota
#   Northernmost_Latitude: 48.22
#   Southernmost_Latitude: 48.22
#   Easternmost_Longitude: -90.9
#   Westernmost_Longitude: -90.9
#   Elevation_m: 445
#--------------------
# Data_Collection
#   Collection_Name: MN005
#   First_Year: 1620
#   Last_Year: 1972
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus resinosa Aiton
#   Common_Name: red pine
#   Tree_Species_Code: PIRE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## trsgi	tree ring standardized growth index,,,,,tree ring,composited,standard chronology method,N,
## numsamp	number of samples,,,count,,tree ring,,,N,
#---------------------
# Data:
# Missing_Values: NA
age_CE	trsgi	numsamp
1620	1.024	1
1621	0.614	1
1622	1.405	1
1623	1.17	1
1624	0.919	1
1625	1.523	1
1626	0.952	1
1627	1.287	1
1628	1.384	1
1629	2.041	2
1630	1.392	2
1631	1.059	2
1632	1.345	2
1633	1.492	3
1634	1.892	5
1635	1.436	5
1636	1.099	5
1637	1.284	5
1638	1.26	5
1639	0.699	5
1640	0.945	5
1641	0.863	5
1642	1.222	5
1643	1.153	5
1644	0.898	5
1645	0.934	5
1646	1.519	5
1647	1.437	5
1648	0.891	5
1649	1.126	5
1650	0.949	5
1651	1.062	5
1652	0.74	5
1653	0.895	5
1654	1.018	5
1655	0.865	5
1656	0.669	5
1657	0.627	5
1658	0.508	5
1659	0.703	5
1660	0.551	5
1661	0.55	5
1662	0.534	5
1663	0.617	5
1664	0.615	5
1665	0.433	5
1666	0.536	5
1667	0.516	5
1668	0.668	5
1669	0.771	5
1670	0.792	5
1671	1.013	5
1672	0.57	5
1673	1.118	5
1674	0.764	5
1675	0.769	5
1676	0.923	5
1677	0.451	5
1678	0.561	5
1679	1.032	5
1680	0.557	5
1681	0.883	5
1682	0.646	5
1683	0.99	5
1684	0.615	5
1685	0.733	5
1686	0.609	5
1687	0.79	5
1688	0.484	5
1689	0.583	5
1690	0.48	5
1691	0.479	5
1692	0.606	5
1693	0.861	5
1694	1.134	5
1695	1.2	5
1696	1.058	5
1697	1.162	5
1698	1.358	5
1699	1.144	5
1700	1.396	5
1701	1.242	5
1702	1.206	5
1703	1.743	5
1704	1.803	5
1705	1.977	5
1706	1.584	5
1707	2.131	5
1708	1.775	5
1709	1.354	5
1710	1.516	5
1711	1.576	5
1712	1.129	5
1713	1.624	5
1714	1.502	5
1715	1.412	5
1716	1.951	5
1717	1.149	5
1718	1.322	5
1719	1.178	5
1720	1.438	5
1721	1.002	5
1722	1.084	5
1723	1.399	5
1724	1.11	5
1725	1.031	5
1726	1.043	5
1727	0.939	5
1728	1.095	5
1729	1.071	5
1730	1.18	5
1731	1.089	6
1732	1.314	6
1733	1.123	7
1734	1.299	8
1735	0.946	8
1736	0.471	9
1737	1.104	9
1738	1.031	9
1739	0.364	9
1740	0.808	9
1741	0.621	9
1742	0.384	9
1743	0.541	9
1744	0.65	9
1745	0.821	9
1746	0.971	9
1747	0.924	9
1748	1.291	9
1749	1.174	9
1750	1.124	9
1751	0.833	9
1752	1.045	9
1753	0.947	9
1754	0.928	9
1755	0.702	9
1756	0.97	9
1757	0.65	9
1758	0.635	9
1759	0.768	9
1760	0.438	9
1761	0.603	9
1762	0.953	9
1763	0.801	9
1764	0.645	9
1765	0.965	9
1766	0.712	9
1767	1	9
1768	0.885	9
1769	0.901	9
1770	0.987	9
1771	0.968	9
1772	1.11	9
1773	0.951	9
1774	0.953	9
1775	0.893	9
1776	0.522	9
1777	0.974	9
1778	1.12	9
1779	1.066	9
1780	0.841	11
1781	1.18	11
1782	1.09	12
1783	1.155	12
1784	1.024	12
1785	0.859	12
1786	0.825	12
1787	1.268	12
1788	1.095	12
1789	0.995	12
1790	0.903	12
1791	0.973	12
1792	0.942	12
1793	1.082	12
1794	0.892	12
1795	0.808	12
1796	0.907	12
1797	0.734	12
1798	0.806	12
1799	1.022	12
1800	1.102	12
1801	1.334	12
1802	1.607	13
1803	1.153	13
1804	0.396	13
1805	0.873	13
1806	0.615	13
1807	0.602	13
1808	0.758	13
1809	0.682	13
